epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0625,1.42327,1.7455,1.15898,0.74308,0.57959,0.64049,0.50177,1.45088,1.34327,1.00982,0.000331111,0.000331111,0.06722
2,36.724,1.30747,1.10561,1.07992,0.77879,0.63899,0.67208,0.52912,1.31229,0.98158,0.95938,0.000657866,0.000657866,0.0342134
3,54.1675,1.24395,0.97671,1.0373,0.71172,0.57119,0.62305,0.47069,1.41159,1.08691,1.02696,0.000978022,0.000978022,0.00120024
4,71.4953,1.18695,0.92293,1.02954,0.78669,0.66989,0.71312,0.56544,1.22579,0.81308,0.94895,0.0009703,0.0009703,0.0009703
5,88.9527,1.16737,0.86117,1.00764,0.78906,0.71443,0.75463,0.59885,1.16676,0.76564,0.93098,0.0009604,0.0009604,0.0009604
6,106.539,1.15576,0.84897,1.00891,0.78582,0.71786,0.75717,0.60853,1.17159,0.77579,0.91534,0.0009505,0.0009505,0.0009505
7,124.002,1.10488,0.79887,0.99618,0.82706,0.76357,0.80091,0.64663,1.07571,0.65951,0.89725,0.0009406,0.0009406,0.0009406
8,141.463,1.09768,0.7757,0.97932,0.76977,0.76015,0.78023,0.63378,1.05306,0.69789,0.89196,0.0009307,0.0009307,0.0009307
9,158.891,1.06148,0.74909,0.97801,0.79284,0.72127,0.76361,0.61611,1.04214,0.69232,0.90134,0.0009208,0.0009208,0.0009208
10,176.385,1.06567,0.74424,0.97747,0.87238,0.70588,0.77832,0.63046,1.06279,0.63345,0.89569,0.0009109,0.0009109,0.0009109
11,193.854,1.03458,0.71908,0.96497,0.8563,0.74222,0.80176,0.63864,1.04383,0.64073,0.89637,0.000901,0.000901,0.000901
12,211.376,1.01948,0.69797,0.95193,0.79145,0.69912,0.75888,0.63297,1.01438,0.66947,0.88603,0.0008911,0.0008911,0.0008911
13,228.93,1.0152,0.71593,0.97372,0.87812,0.71288,0.79788,0.64717,1.00315,0.62119,0.8754,0.0008812,0.0008812,0.0008812
14,246.507,0.98869,0.68045,0.95206,0.79595,0.75686,0.79635,0.64642,1.03096,0.6016,0.90006,0.0008713,0.0008713,0.0008713
15,263.958,0.98987,0.67987,0.95921,0.76763,0.79224,0.81712,0.67074,0.96486,0.57256,0.86943,0.0008614,0.0008614,0.0008614
16,281.454,0.98991,0.68863,0.95819,0.83625,0.78084,0.82379,0.67789,0.98153,0.55734,0.86425,0.0008515,0.0008515,0.0008515
17,298.963,0.95616,0.64889,0.9422,0.80537,0.78548,0.82406,0.68136,0.96352,0.55397,0.85929,0.0008416,0.0008416,0.0008416
18,316.553,0.96573,0.64378,0.94152,0.7587,0.74816,0.77805,0.64857,0.97148,0.59889,0.85977,0.0008317,0.0008317,0.0008317
19,334.029,0.94991,0.6518,0.94614,0.77472,0.71999,0.76987,0.64384,0.94196,0.60536,0.84346,0.0008218,0.0008218,0.0008218
20,351.482,0.95805,0.64071,0.94042,0.81883,0.75687,0.80039,0.65758,0.97166,0.56962,0.85259,0.0008119,0.0008119,0.0008119
21,368.933,0.96599,0.64746,0.93827,0.76878,0.80118,0.81734,0.67076,0.94354,0.55188,0.85545,0.000802,0.000802,0.000802
22,386.384,0.93942,0.63741,0.94334,0.82606,0.75754,0.81308,0.67292,0.93004,0.57089,0.85091,0.0007921,0.0007921,0.0007921
23,403.931,0.93622,0.61933,0.93435,0.82223,0.78322,0.8318,0.682,0.95254,0.56858,0.85084,0.0007822,0.0007822,0.0007822
24,421.453,0.9256,0.61914,0.94023,0.84783,0.81421,0.85259,0.70492,0.91099,0.51782,0.8414,0.0007723,0.0007723,0.0007723
25,438.976,0.92561,0.61128,0.9297,0.82067,0.80416,0.8375,0.68667,0.96021,0.53951,0.85867,0.0007624,0.0007624,0.0007624
26,456.488,0.92433,0.60261,0.92765,0.81332,0.79809,0.83005,0.6854,0.90942,0.54131,0.84788,0.0007525,0.0007525,0.0007525
27,473.986,0.91921,0.60767,0.93316,0.80875,0.80407,0.83599,0.69794,0.90637,0.52087,0.84216,0.0007426,0.0007426,0.0007426
28,491.605,0.92038,0.59859,0.92614,0.88111,0.77546,0.85246,0.70541,0.91837,0.5285,0.84291,0.0007327,0.0007327,0.0007327
29,509.063,0.91173,0.60313,0.93033,0.84652,0.77811,0.82853,0.69449,0.91236,0.5257,0.84614,0.0007228,0.0007228,0.0007228
30,526.407,0.91255,0.59692,0.9242,0.89089,0.79296,0.8549,0.71626,0.88688,0.51046,0.83677,0.0007129,0.0007129,0.0007129
31,543.532,0.88309,0.56644,0.92432,0.87797,0.78297,0.85145,0.70303,0.8877,0.52868,0.83587,0.000703,0.000703,0.000703
32,559.762,0.90326,0.58535,0.92634,0.8726,0.79004,0.84735,0.70178,0.90287,0.50771,0.83673,0.0006931,0.0006931,0.0006931
33,576.013,0.89584,0.57728,0.91654,0.90621,0.81709,0.86614,0.7275,0.87654,0.48451,0.83782,0.0006832,0.0006832,0.0006832
34,592.461,0.89632,0.57693,0.9216,0.80894,0.81525,0.8459,0.7055,0.87364,0.50388,0.83508,0.0006733,0.0006733,0.0006733
35,608.712,0.87865,0.56303,0.91181,0.84721,0.83103,0.8657,0.71537,0.88479,0.49977,0.84171,0.0006634,0.0006634,0.0006634
36,625.004,0.88693,0.57177,0.92001,0.864,0.82994,0.87938,0.73179,0.87084,0.48303,0.83108,0.0006535,0.0006535,0.0006535
37,641.44,0.88109,0.5643,0.92249,0.83857,0.7959,0.84531,0.70364,0.89395,0.5062,0.83557,0.0006436,0.0006436,0.0006436
38,657.826,0.8817,0.55517,0.91007,0.84728,0.81986,0.86075,0.71066,0.89353,0.49215,0.83724,0.0006337,0.0006337,0.0006337
39,674.179,0.8579,0.5431,0.90741,0.88854,0.78913,0.8579,0.72001,0.86157,0.495,0.82204,0.0006238,0.0006238,0.0006238
40,690.646,0.88101,0.55877,0.91764,0.84541,0.81313,0.85157,0.70911,0.87978,0.50046,0.82535,0.0006139,0.0006139,0.0006139
41,706.976,0.8956,0.56702,0.9094,0.85873,0.79492,0.86213,0.71995,0.86109,0.49059,0.82486,0.000604,0.000604,0.000604
42,723.283,0.85885,0.53762,0.9073,0.89146,0.80263,0.8713,0.73025,0.84321,0.4711,0.82258,0.0005941,0.0005941,0.0005941
43,739.585,0.85127,0.53376,0.90055,0.83946,0.8169,0.85718,0.71878,0.8634,0.49279,0.82741,0.0005842,0.0005842,0.0005842
44,755.907,0.84804,0.5342,0.90409,0.87268,0.82173,0.87287,0.73491,0.83772,0.47767,0.81784,0.0005743,0.0005743,0.0005743
45,772.248,0.8569,0.52019,0.89848,0.83842,0.84098,0.87417,0.72937,0.85266,0.46988,0.82133,0.0005644,0.0005644,0.0005644
46,788.622,0.85768,0.52886,0.9057,0.89451,0.7885,0.86792,0.73044,0.84516,0.4781,0.82338,0.0005545,0.0005545,0.0005545
47,804.98,0.84924,0.51233,0.89438,0.88008,0.81667,0.87065,0.73571,0.84994,0.46909,0.82293,0.0005446,0.0005446,0.0005446
48,821.354,0.84459,0.5215,0.89511,0.83154,0.80053,0.84963,0.71086,0.84298,0.48867,0.82177,0.0005347,0.0005347,0.0005347
49,837.784,0.84908,0.52469,0.90185,0.87034,0.84299,0.87822,0.74125,0.83166,0.45273,0.81662,0.0005248,0.0005248,0.0005248
50,854.156,0.84314,0.51637,0.89802,0.82352,0.84893,0.86735,0.72545,0.85615,0.47444,0.82536,0.0005149,0.0005149,0.0005149
51,870.476,0.83585,0.50787,0.89494,0.82814,0.81475,0.85059,0.72222,0.82647,0.47487,0.81939,0.000505,0.000505,0.000505
52,886.835,0.82728,0.49714,0.88776,0.8719,0.85864,0.88508,0.73745,0.83747,0.45269,0.82135,0.0004951,0.0004951,0.0004951
53,903.198,0.83769,0.52143,0.90003,0.85438,0.84099,0.88384,0.74251,0.82851,0.45652,0.81924,0.0004852,0.0004852,0.0004852
